dataset,seed,train_total,train_positive,train_negative,val_total,val_positive,val_negative,test_total,test_positive,test_negative
BeeSpotter,42,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,73,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,101,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,137,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,211,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,307,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,401,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,509,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,613,2222,463,1759,556,116,440,1191,248,943
BeeSpotter,719,2222,463,1759,556,116,440,1191,248,943
