dataset,positive_class,negative_class,seed,loss,best_epoch,best_val_loss,train_n_positive,train_n_negative,pos_weight,epochs_run,threshold,Precision_Frog,Recall_Frog,F1_Frog,Precision_Bird,Recall_Bird,F1_Bird,F2_Bird,Macro_F1,Accuracy,Balanced_Accuracy,MCC,AUC,Average_Precision,Brier,ECE,Log_Loss,Prob_Mean_All,Prob_SD_All,Prob_Mean_Frog,Prob_SD_Frog,Prob_Mean_Bird,Prob_SD_Bird,Probability_Collapse,Single_Class_Prediction,TN,FP,FN,TP,N_Test,N_Test_Positive,N_Test_Negative,runtime_seconds
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,42,Soft-F2,1,0.4337283317133677,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.3960678000889407,0.17626533593438376,0.7917713262127942,0.7917695939290634,12.580144772884605,0.9999979734420776,3.7316593079594895e-05,0.9999998807907104,3.828314220299944e-06,0.999990701675415,8.103025174932554e-05,True,True,0,943,0,248,1191,248,943,3.142120122909546
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,42,Weighted BCE,10,0.7890432434116336,463,1759,3.799136069114471,15,0.53,0.9042675893886967,0.8313891834570519,0.8662983425414365,0.5092592592592593,0.6653225806451613,0.5769230769230769,0.6268996960486323,0.7216107097322566,0.7968094038623006,0.7483558820511066,0.45321479509781576,0.8386027776827558,0.6181631861081512,0.14778543052946216,0.16244260129760435,0.46062443723528884,0.37067097425460815,0.2552245557308197,0.3020836114883423,0.21009011566638947,0.6314689517021179,0.2430924028158188,False,False,784,159,83,165,1191,248,943,6.97338080406189
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,73,Soft-F2,1,0.43312643500540754,463,1759,3.799136069114471,6,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.46432328190743327,0.19676747252762236,0.7917716098342181,0.7917683422315231,12.615682149417019,0.9999967217445374,9.567942470312119e-05,1.0,3.2112751569002285e-07,0.9999842643737793,0.0002092055365210399,True,True,0,943,0,248,1191,248,943,3.067370891571045
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,73,Weighted BCE,8,0.8526947867098472,463,1759,3.799136069114471,13,0.51,0.89749430523918,0.8356309650053022,0.8654585392641406,0.5047923322683706,0.6370967741935484,0.5632798573975044,0.6053639846743295,0.7143691983308225,0.7942905121746432,0.7363638695994252,0.43608720763036823,0.8180267163821706,0.5417426120169706,0.15276826113588468,0.14661063565102372,0.4742565705539661,0.354839026927948,0.2621421813964844,0.29022806882858276,0.22413355112075806,0.6005169749259949,0.2505318820476532,False,False,788,155,90,158,1191,248,943,6.036021947860718
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,101,Soft-F2,2,0.43357867431297575,463,1759,3.799136069114471,7,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.47836776930181646,0.20120646722036648,0.7917716162870309,0.7917716204869858,12.620171941618716,1.0,1.974633960344363e-06,1.0,8.152176178555237e-08,0.9999997019767761,4.313097633712459e-06,True,True,0,943,0,248,1191,248,943,3.310081720352173
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,101,Weighted BCE,16,0.9642915597064889,463,1759,3.799136069114471,21,0.49,0.9194630872483222,0.7264050901378579,0.8116113744075829,0.42152466367713004,0.7580645161290323,0.5417867435158501,0.6536856745479833,0.6766990589617166,0.7329974811083123,0.7422348031334451,0.40644581610921554,0.8006790271268772,0.5741987617179003,0.24392459642133327,0.3417700396226695,0.6878754978482831,0.54999840259552,0.1321580708026886,0.5151289701461792,0.09015596657991409,0.6825866103172302,0.17540961503982544,False,False,685,258,60,188,1191,248,943,9.254498481750488
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,137,Soft-F2,6,0.43699692650664623,463,1759,3.799136069114471,11,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.4899193548387097,0.2049308120892879,0.7917716205107728,0.7917714416730515,12.622728332823115,0.9999998211860657,4.873808393313084e-06,1.0,0.0,0.9999991655349731,1.0652514902176335e-05,True,True,0,943,0,248,1191,248,943,5.043484449386597
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,137,Weighted BCE,10,0.7424385770619344,463,1759,3.799136069114471,15,0.5,0.9042675893886967,0.8313891834570519,0.8662983425414365,0.5092592592592593,0.6653225806451613,0.5769230769230769,0.6268996960486323,0.7216107097322566,0.7968094038623006,0.7483558820511066,0.45321479509781576,0.8366614784661172,0.592447097297923,0.1396509813571003,0.12417134971027109,0.43770581398379976,0.33239975571632385,0.27099940180778503,0.2603603005409241,0.22515742480754852,0.6063238382339478,0.25526121258735657,False,False,784,159,83,165,1191,248,943,6.760690927505493
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,211,Soft-F2,3,0.43150383491310285,463,1759,3.799136069114471,8,0.5,0.0,0.0,0.0,0.20822837951301426,1.0,0.344683808200139,0.5680256527714155,0.1723419041000695,0.20822837951301426,0.5,0.0,0.48640662949406493,0.2037928350708465,0.7917716211839005,0.7917707264173142,12.62272906463059,0.9999991059303284,2.9937680665170774e-05,1.0,3.881988508425138e-09,0.9999955892562866,6.549054523929954e-05,True,True,0,943,0,248,1191,248,943,3.854405641555786
CIFAR10_Bird_vs_Frog_ControlledImbalance,Bird,Frog,211,Weighted BCE,13,0.7840972083935634,463,1759,3.799136069114471,18,0.59,0.9039812646370023,0.8186638388123012,0.85920979410128,0.49258160237388726,0.6693548387096774,0.5675213675213675,0.6245297215951844,0.7133655808113237,0.7875734676742233,0.7440093387609893,0.4399205449998654,0.8220846303834707,0.5589097766453522,0.17423493489046582,0.18805684478316959,0.5392582959852423,0.3962852358818054,0.30738916993141174,0.3201977014541626,0.2677510678768158,0.6856018900871277,0.2746928036212921,False,False,772,171,82,166,1191,248,943,8.196038722991943
