dataset,seed,loss,epoch,train_loss,val_loss
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,1,0.4538018937372711,0.4337283317133677
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,2,0.4323431741644089,0.43372775753625004
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,3,0.4347624619944905,0.43372775753625004
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,4,0.43212444952862633,0.43372775753625004
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,5,0.43424353639249,0.43372775753625004
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Soft-F2,6,0.43364060118217707,0.43372775753625004
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,1,1.3310095693054336,1.0724539619555575
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,2,1.0192072444086564,1.0043308314659614
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,3,0.9305719927449574,0.9016863677999098
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,4,0.8496540093829673,0.8745619573181481
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,5,0.7982968351092026,0.848426273400835
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,6,0.7424432565562903,0.8854485668724389
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,7,0.704144909669428,0.8444253763706564
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,8,0.648894725459637,0.8060951644568135
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,9,0.593476639901272,0.8148466597358099
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,10,0.5575616864552915,0.7890432434116336
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,11,0.5201030926700114,0.8104389335611741
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,12,0.4757231231426785,0.81775003543003
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,13,0.4380190793079476,0.8148849829495382
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,14,0.4063969530252376,0.8181862608134318
CIFAR10_Bird_vs_Frog_ControlledImbalance,42,Weighted BCE,15,0.37577984547100013,0.8431088444140318
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,1,0.450756021548133,0.43312643500540754
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,2,0.4334378047208331,0.4331260782351597
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,3,0.4338320192724171,0.43312605079129446
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,4,0.432665696614074,0.43312605079129446
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,5,0.4326411987295245,0.43312605079129446
CIFAR10_Bird_vs_Frog_ControlledImbalance,73,Soft-F2,6,0.4342690859690751,0.43312605079129446
