dataset,loss,metric,n_runs,mean,sd,ci95_low,ci95_high,mean_plus_minus_sd
BeeSpotter,Soft-F2,Precision_Apis,10,0.20822837951301426,0.0,0.20822837951301426,0.20822837951301426,0.2082 ± 0.0000
BeeSpotter,Soft-F2,Recall_Apis,10,1.0,0.0,1.0,1.0,1.0000 ± 0.0000
BeeSpotter,Soft-F2,F1_Apis,10,0.344683808200139,0.0,0.344683808200139,0.344683808200139,0.3447 ± 0.0000
BeeSpotter,Soft-F2,F2_Apis,10,0.5680256527714154,1.1702778228589004e-16,0.5680256527714153,0.5680256527714155,0.5680 ± 0.0000
BeeSpotter,Soft-F2,Precision_Bombus,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BeeSpotter,Soft-F2,Recall_Bombus,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BeeSpotter,Soft-F2,F1_Bombus,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BeeSpotter,Soft-F2,Macro_F1,10,0.1723419041000695,0.0,0.1723419041000695,0.1723419041000695,0.1723 ± 0.0000
BeeSpotter,Soft-F2,Accuracy,10,0.20822837951301426,0.0,0.20822837951301426,0.20822837951301426,0.2082 ± 0.0000
BeeSpotter,Soft-F2,Balanced_Accuracy,10,0.5,0.0,0.5,0.5,0.5000 ± 0.0000
BeeSpotter,Soft-F2,MCC,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
BeeSpotter,Soft-F2,AUC,10,0.5075000855197894,0.005112440013203419,0.5038428662498933,0.5111573047896856,0.5075 ± 0.0051
BeeSpotter,Soft-F2,Average_Precision,10,0.21076793973383262,0.0017491710057270181,0.20951665817513124,0.212019221292534,0.2108 ± 0.0017
BeeSpotter,Soft-F2,Brier,10,0.7917714813739419,1.222495977890519e-07,0.7917713939218479,0.7917715688260359,0.7918 ± 0.0000
BeeSpotter,Soft-F2,ECE,10,0.7917714178311936,2.2688074785264646e-07,0.7917712555304839,0.7917715801319034,0.7918 ± 0.0000
BeeSpotter,Soft-F2,Log_Loss,10,12.59382102602989,0.018626497168282487,12.580496432646186,12.607145619413593,12.5938 ± 0.0186
BeeSpotter,Soft-F2,Prob_SD_All,10,4.861307091452715e-06,5.851426644591779e-06,6.754486313598063e-07,9.047165551545624e-06,0.0000 ± 0.0000
BeeSpotter,Soft-F2,threshold,10,0.5,0.0,0.5,0.5,0.5000 ± 0.0000
BeeSpotter,Soft-F2,best_epoch,10,1.0,0.0,1.0,1.0,1.0000 ± 0.0000
BeeSpotter,Soft-F2,pos_weight,10,3.7991360691144704,4.681111291435602e-16,3.79913606911447,3.799136069114471,3.7991 ± 0.0000
BeeSpotter,Weighted BCE,Precision_Apis,10,0.2421372011143262,0.023271323668012198,0.2254898990169238,0.25878450321172863,0.2421 ± 0.0233
BeeSpotter,Weighted BCE,Recall_Apis,10,0.6814516129032258,0.1822612363729455,0.551069778769866,0.8118334470365856,0.6815 ± 0.1823
BeeSpotter,Weighted BCE,F1_Apis,10,0.3489226846433224,0.02115255040920668,0.3337910616288299,0.3640543076578149,0.3489 ± 0.0212
BeeSpotter,Weighted BCE,F2_Apis,10,0.4860484002855837,0.06836172390844251,0.43714536898241113,0.5349514315887562,0.4860 ± 0.0684
BeeSpotter,Weighted BCE,Precision_Bombus,10,0.8309718226345739,0.025872695125663037,0.8124636114999,0.8494800337692479,0.8310 ± 0.0259
BeeSpotter,Weighted BCE,Recall_Bombus,10,0.4176033934252386,0.22222104769494744,0.25863603230069365,0.5765707545497836,0.4176 ± 0.2222
BeeSpotter,Weighted BCE,F1_Bombus,10,0.5221194880748983,0.21549405779066746,0.36796432563489384,0.6762746505149027,0.5221 ± 0.2155
BeeSpotter,Weighted BCE,Macro_F1,10,0.4355210863591103,0.1080276100895055,0.3582427894441669,0.5127993832740537,0.4355 ± 0.1080
BeeSpotter,Weighted BCE,Accuracy,10,0.47254408060453407,0.13917834440631963,0.37298189076944965,0.5721062704396185,0.4725 ± 0.1392
BeeSpotter,Weighted BCE,Balanced_Accuracy,10,0.5495275031642322,0.02993291536277587,0.528114785443106,0.5709402208853583,0.5495 ± 0.0299
BeeSpotter,Weighted BCE,MCC,10,0.08476592239252753,0.04875416002392441,0.04988929732375255,0.11964254746130251,0.0848 ± 0.0488
BeeSpotter,Weighted BCE,AUC,10,0.5946689101358054,0.01166355788537855,0.586325303454105,0.6030125168175057,0.5947 ± 0.0117
BeeSpotter,Weighted BCE,Average_Precision,10,0.28657305237860975,0.009096090882920876,0.2800661009480147,0.2930800038092048,0.2866 ± 0.0091
BeeSpotter,Weighted BCE,Brier,10,0.249638156861174,0.0170569822357388,0.2374363268235178,0.2618399868988302,0.2496 ± 0.0171
BeeSpotter,Weighted BCE,ECE,10,0.2924309645201557,0.029418417151736053,0.2713862966474155,0.31347563239289594,0.2924 ± 0.0294
BeeSpotter,Weighted BCE,Log_Loss,10,0.69279783285964,0.03484493716274088,0.6678712664215436,0.7177243992977365,0.6928 ± 0.0348
BeeSpotter,Weighted BCE,Prob_SD_All,10,0.08125823214650155,0.03258434787346193,0.057948793868094074,0.10456767042490903,0.0813 ± 0.0326
BeeSpotter,Weighted BCE,threshold,10,0.48100000000000004,0.05466056876558987,0.4418981846482848,0.5201018153517153,0.4810 ± 0.0547
BeeSpotter,Weighted BCE,best_epoch,10,4.8,2.097617696340303,3.2994546947996115,6.300545305200388,4.8000 ± 2.0976
BeeSpotter,Weighted BCE,pos_weight,10,3.7991360691144704,4.681111291435602e-16,3.79913606911447,3.799136069114471,3.7991 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Precision_Bird,10,0.20822837951301426,0.0,0.20822837951301426,0.20822837951301426,0.2082 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Recall_Bird,10,1.0,0.0,1.0,1.0,1.0000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,F1_Bird,10,0.344683808200139,0.0,0.344683808200139,0.344683808200139,0.3447 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,F2_Bird,10,0.5680256527714154,1.1702778228589004e-16,0.5680256527714153,0.5680256527714155,0.5680 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Precision_Frog,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Recall_Frog,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,F1_Frog,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Macro_F1,10,0.1723419041000695,0.0,0.1723419041000695,0.1723419041000695,0.1723 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Accuracy,10,0.20822837951301426,0.0,0.20822837951301426,0.20822837951301426,0.2082 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Balanced_Accuracy,10,0.5,0.0,0.5,0.5,0.5000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,MCC,10,0.0,0.0,0.0,0.0,0.0000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,AUC,10,0.46172690110491577,0.033020139096535776,0.43810571656551334,0.4853480856443182,0.4617 ± 0.0330
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Average_Precision,10,0.19614147239023244,0.010140912922070623,0.18888710029840283,0.20339584448206205,0.1961 ± 0.0101
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Brier,10,0.7917716291138704,1.374028090678669e-07,0.7917715308218221,0.7917717274059188,0.7918 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,ECE,10,0.7917658447969071,8.231507186017093e-06,0.791759956331395,0.7917717332624193,0.7918 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Log_Loss,10,12.612728760588615,0.01385835725929544,12.602815089017524,12.622642432159706,12.6127 ± 0.0139
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,Prob_SD_All,10,0.00015651046061293528,0.00022028054837987008,-1.0687509255034302e-06,0.000314089672151374,0.0002 ± 0.0002
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,threshold,10,0.5,0.0,0.5,0.5,0.5000 ± 0.0000
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,best_epoch,10,2.1,1.5238839267549948,1.0098791090711847,3.1901208909288155,2.1000 ± 1.5239
CIFAR10_Bird_vs_Frog_ControlledImbalance,Soft-F2,pos_weight,10,3.7991360691144704,4.681111291435602e-16,3.79913606911447,3.799136069114471,3.7991 ± 0.0000
